"block ""plot"" ""full_species_original"" ""basal_area"""
"Romania ""ROM26"" ""Fagus.sylvatica"" 3.32906878875"
"Romania ""ROM27"" ""Acer.pseudoplatanus"" 1.633989834125"
"Romania ""ROM27"" ""Picea.abies"" 1.064506458"
"Romania ""ROM28"" ""Abies.alba"" 2.71688622175"
"Romania ""ROM28"" ""Fagus.sylvatica"" 0.858188844468749"
"Romania ""ROM29"" ""Abies.alba"" 1.13931237225"
"Romania ""ROM29"" ""Acer.pseudoplatanus"" 1.199238756375"
"Romania ""ROM29"" ""Fagus.sylvatica"" 1.524298686625"
"Romania ""ROM29"" ""Picea.abies"" 0.802389624625"
"Spain ""SPA01"" ""Pinus.sylvestris"" 0.732954763"
"Spain ""SPA01"" ""Quercus.faginea"" 1.4690554535"
"Spain ""SPA02"" ""Pinus.nigra"" 0.5369937215"
"Spain ""SPA02"" ""Pinus.sylvestris"" 0.379484476"
"Spain ""SPA02"" ""Quercus.faginea"" 0.328557369"
"Spain ""SPA03"" ""Pinus.nigra"" 1.3564807355"
"Spain ""SPA03"" ""Quercus.faginea"" 0.621894489"
"Spain ""SPA04"" ""Pinus.sylvestris"" 1.8106207025"
"Spain ""SPA04"" ""Quercus.faginea"" 0.8058028185"
"Spain ""SPA05"" ""Pinus.sylvestris"" 0.5780628035"
"Spain ""SPA05"" ""Quercus.faginea"" 1.407493462"
"Spain ""SPA06"" ""Pinus.nigra"" 1.4837851495"
"Spain ""SPA06"" ""Quercus.faginea"" 0.8630422035"
"Spain ""SPA07"" ""Pinus.nigra"" 0.2819151645"
"Spain ""SPA07"" ""Pinus.sylvestris"" 0.735498212"
"Spain ""SPA08"" ""Pinus.nigra"" 1.3971837745"
"Spain ""SPA08"" ""Quercus.faginea"" 1.046905296055"
"Spain ""SPA09"" ""Quercus.faginea"" 2.8549256715"
"Spain ""SPA10"" ""Quercus.faginea"" 1.6056004895"
"Spain ""SPA11"" ""Quercus.faginea"" 0.956764992195"
"Spain ""SPA12"" ""Pinus.nigra"" 3.469847277"
"Spain ""SPA13"" ""Pinus.nigra"" 0.321626117"
"Spain ""SPA13"" ""Quercus.faginea"" 0.5977788535"
"Spain ""SPA13"" ""Quercus.ilex"" 0.2892768705"
"Spain ""SPA14"" ""Pinus.nigra"" 0.7855510575"
"Spain ""SPA14"" ""Quercus.ilex"" 0.3395771485"
"Spain ""SPA15"" ""Pinus.nigra"" 1.38386248"
"Spain ""SPA16"" ""Pinus.nigra"" 0.840109531"
"Spain ""SPA16"" ""Quercus.ilex"" 0.355358629"
"Spain ""SPA17"" ""Pinus.nigra"" 2.992352824"
"Spain ""SPA18"" ""Pinus.sylvestris"" 4.692889629"
"Spain ""SPA19"" ""Pinus.sylvestris"" 3.019221637"
"Spain ""SPA20"" ""Pinus.sylvestris"" 3.7623541235"
"Spain ""SPA21"" ""Pinus.nigra"" 1.2595751715"
"Spain ""SPA21"" ""Pinus.sylvestris"" 0.934864396"
"Spain ""SPA22"" ""Pinus.nigra"" 1.637151668"
"Spain ""SPA22"" ""Pinus.sylvestris"" 2.023546973"
"Spain ""SPA23"" ""Pinus.nigra"" 1.1251227075"
"Spain ""SPA23"" ""Pinus.sylvestris"" 0.752207368"
"Spain ""SPA24"" ""Pinus.nigra"" 0.5352420565"
"Spain ""SPA24"" ""Pinus.sylvestris"" 0.600676563"
"Spain ""SPA24"" ""Quercus.faginea"" 0.6424502385"
"Spain ""SPA24"" ""Quercus.ilex"" 0.3076292925"
"Spain ""SPA25"" ""Pinus.nigra"" 0.8439671215"
"Spain ""SPA25"" ""Pinus.sylvestris"" 0.5661169195"
"Spain ""SPA25"" ""Quercus.faginea"" 0.341076668"
"Spain ""SPA26"" ""Pinus.nigra"" 0.5235852365"
"Spain ""SPA26"" ""Pinus.sylvestris"" 0.2788878475"
"Spain ""SPA26"" ""Quercus.faginea"" 0.4256098215"
"Spain ""SPA26"" ""Quercus.ilex"" 0.3043239085"
"Spain ""SPA27"" ""Pinus.nigra"" 0.7932442445"
"Spain ""SPA27"" ""Quercus.faginea"" 0.618333032"
"Spain ""SPA27"" ""Quercus.ilex"" 0.6235668185"
"Spain ""SPA28"" ""Quercus.faginea"" 0.3497682255"
"Spain ""SPA28"" ""Quercus.ilex"" 1.107251710595"
"Spain ""SPA29"" ""Pinus.nigra"" 1.4734416855"
"Spain ""SPA29"" ""Pinus.sylvestris"" 0.828355309"
"Spain ""SPA29"" ""Quercus.faginea"" 0.3966500075"
"Spain ""SPA29"" ""Quercus.ilex"" 0.4021972085"
"Spain ""SPA30"" ""Quercus.faginea"" 0.3101114725"
"Spain ""SPA30"" ""Quercus.ilex"" 0.433217389"
"Spain ""SPA31"" ""Quercus.faginea"" 0.6171665645"
"Spain ""SPA31"" ""Quercus.ilex"" 0.2705426955"
"Spain ""SPA32"" ""Quercus.ilex"" 0.8575609845"
"Spain ""SPA33"" ""Quercus.ilex"" 0.737293865"
"Spain ""SPA34"" ""Quercus.faginea"" 0.161396685"
"Spain ""SPA34"" ""Quercus.ilex"" 0.7685402695"
"Spain ""SPA35"" ""Pinus.nigra"" 0.550476829"
"Spain ""SPA35"" ""Quercus.ilex"" 0.418219052"
"Spain ""SPA36"" ""Pinus.nigra"" 0.5901579325"
"Spain ""SPA36"" ""Quercus.ilex"" 0.4498079345"
