"block ""plot"" ""full_species_original"" ""basal_area"""
"Germany ""GER19"" ""Fagus.sylvatica"" 0.2649295125"
"Germany ""GER19"" ""Quercus.petraea"" 1.794592575"
"Germany ""GER20"" ""Fagus.sylvatica"" 0.50892545"
"Germany ""GER20"" ""Fraxinus.excelsior"" 0.5985313625"
"Germany ""GER20"" ""Quercus.petraea"" 1.1792907875"
"Germany ""GER21"" ""Acer.pseudoplatanus"" 0.3473677375"
"Germany ""GER21"" ""Fagus.sylvatica"" 1.5239681875"
"Germany ""GER21"" ""Fraxinus.excelsior"" 0.25520895"
"Germany ""GER21"" ""Quercus.robur"" 0.3068359375"
"Germany ""GER22"" ""Fagus.sylvatica"" 1.8715126625"
"Germany ""GER22"" ""Fraxinus.excelsior"" 1.243485775"
"Germany ""GER23"" ""Fagus.sylvatica"" 1.9971926625"
"Germany ""GER23"" ""Picea.abies"" 1.0036529875"
"Germany ""GER23"" ""Quercus.petraea"" 0.841545425"
"Germany ""GER24"" ""Acer.pseudoplatanus"" 0.5823107875"
"Germany ""GER24"" ""Fagus.sylvatica"" 0.7309273875"
"Germany ""GER24"" ""Fraxinus.excelsior"" 0.3124129875"
"Germany ""GER25"" ""Acer.pseudoplatanus"" 0.497417875"
"Germany ""GER25"" ""Fagus.sylvatica"" 1.0015125"
"Germany ""GER25"" ""Quercus.petraea"" 1.039884175"
"Germany ""GER26"" ""Acer.pseudoplatanus"" 0.860122499999998"
"Germany ""GER26"" ""Fagus.sylvatica"" 0.5442925875"
"Germany ""GER26"" ""Fraxinus.excelsior"" 0.232056337499999"
"Germany ""GER27"" ""Acer.pseudoplatanus"" 0.3999176875"
"Germany ""GER27"" ""Fagus.sylvatica"" 0.5618485125"
"Germany ""GER27"" ""Fraxinus.excelsior"" 1.7473643875"
"Germany ""GER27"" ""Quercus.petraea"" 0.7201660375"
"Germany ""GER28"" ""Acer.pseudoplatanus"" 0.9173658125"
"Germany ""GER28"" ""Fraxinus.excelsior"" 0.8560575375"
"Germany ""GER29"" ""Fagus.sylvatica"" 2.1080659875"
"Germany ""GER29"" ""Fraxinus.excelsior"" 0.851285625"
"Germany ""GER29"" ""Quercus.petraea"" 0.5593741875"
"Germany ""GER30"" ""Fagus.sylvatica"" 0.9177782"
"Germany ""GER30"" ""Quercus.robur"" 0.37397655"
"Germany ""GER31"" ""Fagus.sylvatica"" 1.69675855"
"Germany ""GER31"" ""Fraxinus.excelsior"" 0.59611595"
"Germany ""GER32"" ""Acer.pseudoplatanus"" 0.9114352875"
"Germany ""GER32"" ""Fagus.sylvatica"" 1.583890251375"
"Germany ""GER32"" ""Fraxinus.excelsior"" 1.4323003375"
"Germany ""GER33"" ""Acer.pseudoplatanus"" 0.62706465"
"Germany ""GER33"" ""Fagus.sylvatica"" 1.072011125"
"Germany ""GER33"" ""Fraxinus.excelsior"" 0.97402"
"Germany ""GER33"" ""Picea.abies"" 0.4828272125"
"Germany ""GER34"" ""Fagus.sylvatica"" 0.2792256125"
"Germany ""GER34"" ""Fraxinus.excelsior"" 2.1503651625"
"Germany ""GER34"" ""Picea.abies"" 0.384934275"
"Germany ""GER35"" ""Fagus.sylvatica"" 1.91559885"
"Germany ""GER35"" ""Quercus.petraea"" 2.122695925"
"Germany ""GER36"" ""Fraxinus.excelsior"" 0.871776030964217"
"Germany ""GER36"" ""Picea.abies"" 0.3068359375"
"Germany ""GER37"" ""Acer.pseudoplatanus"" 0.56438175"
"Germany ""GER37"" ""Fagus.sylvatica"" 0.831804400123519"
"Germany ""GER37"" ""Fraxinus.excelsior"" 0.73609205"
"Germany ""GER37"" ""Quercus.petraea"" 0.512342375"
"Germany ""GER38"" ""Acer.pseudoplatanus"" 0.632476206415692"
"Germany ""GER38"" ""Fagus.sylvatica"" 2.59337357260023"
"Germany ""GER38"" ""Fraxinus.excelsior"" 1.18504472022341"
"Italy ""ITA01"" ""Quercus.cerris"" 0.842252375"
"Italy ""ITA01"" ""Quercus.petraea"" 1.3084269875"
"Italy ""ITA02"" ""Ostrya.carpinifolia"" 0.366160825"
"Italy ""ITA02"" ""Quercus.cerris"" 0.5467276375"
"Italy ""ITA02"" ""Quercus.ilex"" 0.499774375"
"Italy ""ITA02"" ""Quercus.petraea"" 0.570547925"
"Italy ""ITA03"" ""Ostrya.carpinifolia"" 1.4641130875"
"Italy ""ITA03"" ""Quercus.ilex"" 0.2396756875"
"Italy ""ITA04"" ""Quercus.petraea"" 2.2030133"
"Italy ""ITA05"" ""Ostrya.carpinifolia"" 0.6139468"
"Italy ""ITA05"" ""Quercus.ilex"" 0.30186765"
"Italy ""ITA05"" ""Quercus.petraea"" 1.0219551375"
"Italy ""ITA06"" ""Quercus.ilex"" 2.501412182"
"Italy ""ITA07"" ""Castanea.sativa"" 2.60668175"
"Italy ""ITA08"" ""Ostrya.carpinifolia"" 1.223926825"
"Italy ""ITA08"" ""Quercus.ilex"" 0.461874"
"Italy ""ITA09"" ""Ostrya.carpinifolia"" 0.426644325"
"Italy ""ITA09"" ""Quercus.cerris"" 0.6166175"
"Italy ""ITA09"" ""Quercus.ilex"" 1.4765632625"
"Italy ""ITA10"" ""Castanea.sativa"" 0.4940795"
"Italy ""ITA10"" ""Quercus.ilex"" 1.2470008875"
"Italy ""ITA10"" ""Quercus.petraea"" 0.6541644"
"Italy ""ITA11"" ""Castanea.sativa"" 1.2089041375"
"Italy ""ITA11"" ""Ostrya.carpinifolia"" 0.553345475"
"Italy ""ITA11"" ""Quercus.ilex"" 0.3755671875"
"Italy ""ITA11"" ""Quercus.petraea"" 0.2494748"
"Italy ""ITA12"" ""Castanea.sativa"" 2.501464025"
"Italy ""ITA13"" ""Castanea.sativa"" 0.8007976125"
"Italy ""ITA13"" ""Quercus.cerris"" 1.6238837875"
"Italy ""ITA14"" ""Castanea.sativa"" 1.0691244125"
"Italy ""ITA14"" ""Quercus.cerris"" 0.6281839875"
"Italy ""ITA14"" ""Quercus.ilex"" 0.617442275"
"Italy ""ITA15"" ""Quercus.cerris"" 2.4182992125"
"Italy ""ITA16"" ""Quercus.ilex"" 2.00797365"
"Italy ""ITA17"" ""Quercus.ilex"" 1.14282395"
"Italy ""ITA17"" ""Quercus.petraea"" 0.5141293875"
"Italy ""ITA18"" ""Ostrya.carpinifolia"" 0.46305225"
"Italy ""ITA18"" ""Quercus.cerris"" 0.4236987"
"Italy ""ITA18"" ""Quercus.ilex"" 0.8428415"
"Italy ""ITA18"" ""Quercus.petraea"" 0.67058135"
"Italy ""ITA19"" ""Ostrya.carpinifolia"" 0.4763861125"
"Italy ""ITA19"" ""Quercus.cerris"" 1.479135775"
"Italy ""ITA20"" ""Quercus.cerris"" 1.46063725"
"Italy ""ITA20"" ""Quercus.ilex"" 0.4655854875"
"Italy ""ITA20"" ""Quercus.petraea"" 0.4531745875"
"Italy ""ITA21"" ""Castanea.sativa"" 1.86768335"
"Italy ""ITA21"" ""Quercus.ilex"" 1.1148405125"
"Italy ""ITA22"" ""Castanea.sativa"" 1.182452425"
"Italy ""ITA22"" ""Ostrya.carpinifolia"" 0.6248456125"
"Italy ""ITA22"" ""Quercus.cerris"" 1.0181061875"
"Italy ""ITA22"" ""Quercus.ilex"" 0.35371065"
"Italy ""ITA23"" ""Castanea.sativa"" 0.250414258"
"Italy ""ITA23"" ""Quercus.cerris"" 0.3272589375"
"Italy ""ITA23"" ""Quercus.ilex"" 0.4080476125"
"Italy ""ITA23"" ""Quercus.petraea"" 0.9894747125"
"Italy ""ITA24"" ""Quercus.cerris"" 2.3619788625"
"Italy ""ITA24"" ""Quercus.ilex"" 1.0546123"
"Italy ""ITA25"" ""Castanea.sativa"" 0.413369375"
"Italy ""ITA25"" ""Ostrya.carpinifolia"" 1.297371075"
"Italy ""ITA25"" ""Quercus.ilex"" 0.31192205"
"Italy ""ITA26"" ""Castanea.sativa"" 0.567563025"
"Italy ""ITA26"" ""Quercus.cerris"" 0.9391241625"
"Italy ""ITA26"" ""Quercus.petraea"" 0.837775025"
"Italy ""ITA27"" ""Quercus.petraea"" 2.4529397625"
"Italy ""ITA28"" ""Castanea.sativa"" 1.128174375"
"Italy ""ITA28"" ""Quercus.petraea"" 0.462148925"
"Italy ""ITA29"" ""Ostrya.carpinifolia"" 0.2373584625"
"Italy ""ITA29"" ""Quercus.cerris"" 1.1898557625"
"Italy ""ITA29"" ""Quercus.petraea"" 0.5171928375"
"Italy ""ITA30"" ""Castanea.sativa"" 0.63020665"
"Italy ""ITA30"" ""Ostrya.carpinifolia"" 1.308368075"
"Italy ""ITA31"" ""Ostrya.carpinifolia"" 2.1645041625"
"Italy ""ITA32"" ""Castanea.sativa"" 0.9787133625"
"Italy ""ITA32"" ""Ostrya.carpinifolia"" 0.435284825"
"Italy ""ITA32"" ""Quercus.cerris"" 0.3505882875"
"Italy ""ITA32"" ""Quercus.ilex"" 0.327985525"
"Italy ""ITA33"" ""Castanea.sativa"" 0.7218941375"
"Italy ""ITA33"" ""Quercus.cerris"" 0.4131140875"
"Italy ""ITA33"" ""Quercus.ilex"" 0.394910125"
"Italy ""ITA33"" ""Quercus.petraea"" 0.2632406875"
"Italy ""ITA34"" ""Castanea.sativa"" 0.3415943125"
"Italy ""ITA34"" ""Ostrya.carpinifolia"" 0.2132436125"
"Italy ""ITA34"" ""Quercus.cerris"" 0.2286001375"
"Italy ""ITA34"" ""Quercus.ilex"" 0.433163975"
"Italy ""ITA34"" ""Quercus.petraea"" 0.4928227"
"Italy ""ITA35"" ""Quercus.cerris"" 2.5217888375"
"Italy ""ITA36"" ""Castanea.sativa"" 0.32951725"
"Italy ""ITA36"" ""Quercus.cerris"" 0.3845611625"
"Italy ""ITA36"" ""Quercus.petraea"" 1.4434544375"
"Poland ""POL01"" ""Picea.abies"" 3.0207384375"
"Poland ""POL02"" ""Carpinus.betulus"" 2.389339594875"
"Poland ""POL03"" ""Picea.abies"" 2.8801732125"
"Poland ""POL04"" ""Betula.pendula"" 1.524601496875"
"Poland ""POL04"" ""Picea.abies"" 1.22545855"
"Poland ""POL04"" ""Quercus.robur"" 1.454942375"
"Poland ""POL05"" ""Carpinus.betulus"" 1.421244425"
"Poland ""POL05"" ""Quercus.robur"" 1.39041355"
"Poland ""POL06"" ""Betula.pendula"" 0.996367475"
"Poland ""POL06"" ""Carpinus.betulus"" 0.8313535625"
"Poland ""POL06"" ""Picea.abies"" 1.37985839375"
"Poland ""POL07"" ""Betula.pendula"" 0.655082453125"
"Poland ""POL07"" ""Carpinus.betulus"" 0.5438998375"
"Poland ""POL07"" ""Picea.abies"" 1.229449871875"
"Poland ""POL07"" ""Quercus.robur"" 0.997020421875"
"Poland ""POL08"" ""Betula.pendula"" 1.48236614375"
"Poland ""POL08"" ""Carpinus.betulus"" 1.45671956875"
"Poland ""POL09"" ""Carpinus.betulus"" 0.865041693749999"
"Poland ""POL09"" ""Picea.abies"" 1.804416234375"
"Poland ""POL10"" ""Carpinus.betulus"" 0.45758320625"
"Poland ""POL10"" ""Quercus.robur"" 2.45414746875"
"Poland ""POL11"" ""Betula.pendula"" 2.183508353125"
"Poland ""POL11"" ""Carpinus.betulus"" 0.719056518749999"
"Poland ""POL12"" ""Carpinus.betulus"" 2.4124472375"
"Poland ""POL13"" ""Betula.pendula"" 0.57735231875"
"Poland ""POL13"" ""Carpinus.betulus"" 0.9042676"
"Poland ""POL13"" ""Quercus.robur"" 0.6168727875"
"Poland ""POL14"" ""Carpinus.betulus"" 0.467141759375"
"Poland ""POL14"" ""Picea.abies"" 1.30636505"
"Poland ""POL14"" ""Pinus.sylvestris"" 1.109086725"
"Poland ""POL14"" ""Quercus.robur"" 0.535431165625"
"Poland ""POL15"" ""Carpinus.betulus"" 0.7930408"
"Poland ""POL15"" ""Picea.abies"" 1.02451783125"
"Poland ""POL15"" ""Quercus.robur"" 1.22876746875"
"Poland ""POL16"" ""Picea.abies"" 1.345507496875"
"Poland ""POL16"" ""Quercus.robur"" 1.462998659375"
"Poland ""POL17"" ""Betula.pendula"" 0.76544029375"
"Poland ""POL17"" ""Carpinus.betulus"" 0.632918785125"
"Poland ""POL17"" ""Picea.abies"" 0.949291478125"
"Poland ""POL17"" ""Pinus.sylvestris"" 0.953218978125"
"Poland ""POL18"" ""Carpinus.betulus"" 0.699276646875"
"Poland ""POL18"" ""Pinus.sylvestris"" 2.265838571875"
"Poland ""POL18"" ""Quercus.robur"" 1.65217160625"
"Poland ""POL19"" ""Picea.abies"" 2.323582837"
"Poland ""POL19"" ""Pinus.sylvestris"" 1.742155540625"
"Poland ""POL20"" ""Carpinus.betulus"" 0.50051590625"
"Poland ""POL20"" ""Quercus.robur"" 2.294170575"
"Poland ""POL21"" ""Pinus.sylvestris"" 4.013526978125"
"Poland ""POL22"" ""Picea.abies"" 1.936429328125"
"Poland ""POL22"" ""Pinus.sylvestris"" 1.96770695625"
"Poland ""POL22"" ""Quercus.robur"" 1.311367703125"
"Poland ""POL23"" ""Carpinus.betulus"" 0.808255345875"
"Poland ""POL23"" ""Picea.abies"" 1.60392698175"
"Poland ""POL23"" ""Pinus.sylvestris"" 1.361148765625"
"Poland ""POL24"" ""Carpinus.betulus"" 1.282785321875"
"Poland ""POL24"" ""Pinus.sylvestris"" 0.9969762375"
"Poland ""POL24"" ""Quercus.robur"" 0.92165660625"
"Poland ""POL25"" ""Carpinus.betulus"" 1.173433903125"
"Poland ""POL25"" ""Pinus.sylvestris"" 2.0762139625"
"Poland ""POL26"" ""Betula.pendula"" 1.71974424375"
"Poland ""POL26"" ""Carpinus.betulus"" 0.722776254"
"Poland ""POL27"" ""Carpinus.betulus"" 0.93501010625"
"Poland ""POL27"" ""Picea.abies"" 1.387571021875"
"Poland ""POL27"" ""Pinus.sylvestris"" 0.46697975"
"Poland ""POL27"" ""Quercus.robur"" 0.8366556875"
"Poland ""POL28"" ""Betula.pendula"" 1.496068209375"
"Poland ""POL28"" ""Picea.abies"" 2.886206834375"
"Poland ""POL29"" ""Betula.pendula"" 0.490039084375"
"Poland ""POL29"" ""Pinus.sylvestris"" 1.652147059375"
"Poland ""POL29"" ""Quercus.robur"" 0.688584028125"
"Poland ""POL30"" ""Betula.pendula"" 0.8061782875"
"Poland ""POL30"" ""Carpinus.betulus"" 0.438608471875"
"Poland ""POL30"" ""Picea.abies"" 1.14145914375"
"Poland ""POL30"" ""Pinus.sylvestris"" 0.945265790625"
"Poland ""POL31"" ""Betula.pendula"" 0.578054359375"
"Poland ""POL31"" ""Carpinus.betulus"" 1.406373928125"
"Poland ""POL31"" ""Picea.abies"" 0.95367555"
"Poland ""POL31"" ""Quercus.robur"" 0.514458315625"
"Poland ""POL32"" ""Betula.pendula"" 0.4171986875"
"Poland ""POL32"" ""Picea.abies"" 0.6590934125"
"Poland ""POL32"" ""Pinus.sylvestris"" 0.662790171875"
"Poland ""POL32"" ""Quercus.robur"" 0.87077584375"
"Poland ""POL33"" ""Betula.pendula"" 0.6409876375"
"Poland ""POL33"" ""Carpinus.betulus"" 0.75805463"
"Poland ""POL33"" ""Pinus.sylvestris"" 1.338654009375"
"Poland ""POL34"" ""Betula.pendula"" 0.733990837499998"
"Poland ""POL34"" ""Carpinus.betulus"" 0.77571934675"
"Poland ""POL34"" ""Pinus.sylvestris"" 0.441809384375"
"Poland ""POL34"" ""Quercus.robur"" 0.507545915624999"
"Poland ""POL35"" ""Betula.pendula"" 0.525111659375"
