"plotid","target_species_richness","composition","region_centred_ba","region_centred_coniferous","earthworm_biomass","fine_woody_debris","microbial_biomass_mineral","soil_c_ff_10","litter_decomp_day","nre","soil_cn_ff_10","wood_decomp_day","root_biomass","lai","leaf_litter_production","photo_eff_tot","tree_growth","tree_biomass","total_understorey_weight","sapling_growth","regeneration_seedlings","regeneration_juveniles","wue","resistance_insects","lack_browsing","no_pathogen_damage","tree.growth.recovery","tree.growth.resilience","tree.growth.resistance","tree.growth.stability"
"FIN13",2,"Be.Pisy",-0.353465629892857,0.0545484083571429,0,29,514.4576948,33.7513774702527,0.95903706653959,80.6161655011951,30.07277396884,0.367968939108708,195.17605401344,1.85,407.212670869,46.366,1.437982033,37.6808966,52.541,2.216666667,2,3,2.49259362,99.3620190269677,90.85,0.51,0.97815416,0.907135068,0.927394786,10.93086149
"FIN14",1,"Pisy",-0.544243942892857,0.263095567357143,0,143,218.3741962,29.7017922393789,0.471123971671184,80.4942397777559,31.7216226351902,0.466456024406804,159.146450407061,1.88,240.790427558,45.473,1.159975537,37.44041604,32.037,4.366666667,43,3,0.35827922,99.9044117647058,100,1,1.118068618,1.168072376,1.044723335,3.347301933
"FIN15",2,"Be.Pisy",-0.295903404892857,0.0266423363571429,0.114,108,179.109638,34.3081315998445,0.784045860268072,81.1062436283602,27.9523797741805,0.237481943792113,121.787169233845,2.45,398.605855369,68.536,1.520527726,47.02427725,21.999,6.366666667,4,3,1.6559851,97.5185320734628,94.83,0.52,1.072586718,0.95095099,0.886595903,4.893178054
"FIN16",1,"Pisy",0.278469905107143,0.242552728357143,0.052,72,206.7330712,32.415119482038,0.633184610090674,79.3597711277837,30.3098064937041,0.458449039454282,223.843949133943,2.14,297.835088274,59.04,1.3612405,62.90305056,66.134,NA,0,0,0.983839370000002,99.1042377328783,91.34,1,1.101556392,1.025045398,0.930542826,7.020660238
"FIN17",2,"Piab.Pisy",0.167291021107143,0.263095567357143,0,115,331.5822607,35.5293906687064,0.666856278496887,69.7285430684244,33.5005204626264,0.636734712048026,180.396418159395,2.34,284.261278345999,37.786,1.770812212,58.28384991,21.739,2.966666667,64,2,1.83545498,99.8937476388365,100,0.9,1.036185299,1.065694068,1.028478274,5.103274685
"FIN18",1,"Piab",0.551499494107143,0.255042567357143,0.118,119,583.8958941,43.5121283273489,1.1291515396489,53.4922609075036,21.4452585036707,0.415833174600253,112.644538582079,4,497.17226793,25.028,2.986644091,68.69490441,1.801,NA,1,0,0.96482662,99.984962406015,100,0.725,1.50961285,1.47285613,0.975651559,4.176003688
"FIN19",2,"Piab.Pisy",0.436266644107143,0.260634600357143,0.274,156,350.3645787,44.3295217060087,0.707330242335491,55.4652426600426,23.8332268180418,0.583861034527865,131.851371846873,2.16,308.422647986,41.137,2.192653804,70.70451226,34.396,4.734266667,37,31,0.619197570000001,100,94.55,0.925,1.429820268,1.242009379,0.868647205,4.311326811
"FIN20",2,"Be.Piab",0.590927666107143,0.0949451823571429,0,105,577.0362377,50.8937435261626,0.823232781228671,44.9771671684061,21.1597644156389,1.30067113959436,163.02002328903,2.82,724.504409621,33.07,2.75447089,77.32629244,7.084,2.533333333,9,15,2.45818676,95.669811320755,68.42,0.35,1.575446645,1.372920851,0.87144865,3.791407986
"FIN21",1,"Pisy",-0.607002250892857,0.263095567357143,0,370,328.7191261,31.7267077546629,0.802753130342235,94.0535600312705,30.9747910928649,0.434894493721941,130.128376321934,1.49,369.977556444,64.094,1.055893981,37.20984328,53.819,3.35,68,2,1.20697289,100,88.12,1,0.926229302,0.851500309,0.919319123,5.879572067
"FIN22",2,"Piab.Pisy",0.262968063107143,0.263095567357143,0.346,112,772.2464293,47.5684352871944,0.746385541092796,72.8086497666063,25.2628287002616,0.54762721144381,266.715657619528,3.34,426.197649638,30.586,2.604741406,55.45349818,21.334,NA,0,0,1.86778988,100,95.95,0.783333333,1.1927678,1.174437214,0.984631891,4.527431033
"FIN23",1,"Piab",0.438600364107143,0.263095567357143,0,102,790.5851015,50.4574789385456,0.908935210564958,63.6061228098096,24.8383232806781,0.982449442350083,429.898206830467,3.75,427.123909914,25.086,2.888319227,64.76747484,18.537,3.42,0,5,-0.100636519999998,99.846888972558,100,0.566666667,1.195547455,1.341537516,1.122111473,3.929798409
"FIN24",2,"Be.Piab",0.0591315981071432,0.00305191635714286,0,131,587.6019805,60.1352043047672,0.607638997158529,28.8860730604485,24.0187263546598,0.399561309800593,396.441195207403,4.45,551.949324645,14.478,2.574695711,44.45901303,16.462,NA,0,0,2.06428704,96.1266846361186,95.89,0.32,1.10441889,1.296820169,1.174210419,2.953962311
"FIN25",3,"Be.Piab.Pisy",0.669013436107143,0.131816332357143,0,110,377.3236549,47.6691982871293,0.821198446012276,63.1633412856538,18.934594173037,1.1606066400992,225.151618574345,3.64,563.860188727998,23.444,2.923261929,72.45400726,15.9,2.478571429,0,7,1.16816965,98.874495879362,100,0.518888889,1.115113289,1.108637769,0.99419295,7.353869977
"FIN26",3,"Be.Piab.Pisy",0.209211585107143,-0.0362595376428571,0.472,166,452.6629854,38.3452889797148,0.588476832231039,72.8564672273689,22.2519102317316,0.564451041249312,140.571823804269,3.48,485.527675857,22.988,2.302418976,61.57989034,25.22,4.053703704,4,9,1.92245533,98.6166317934266,81.67,0.623529412,1.341668218,1.109004537,0.826586277,5.373053736
"FIN27",2,"Piab.Pisy",-0.224901273892857,0.174929546357143,0.509,77,822.2648691,48.1193110443566,0.706168223907032,81.7952066421107,32.1566759736926,0.53549202487616,162.351987850735,2.65,264.107852428,70.98,1.653296233,43.24155621,40.769,3.722222222,1,3,2.83296775,97.75,84.62,0.61,1.2224383,1.358986366,1.111701397,4.759139326
"FIN28",2,"Be.Pisy",-0.109988907892857,-0.225344680642857,0.404,83,743.9531134,56.1368016825277,0.637091782774251,77.6292022873771,22.9066763131139,0.879529345101886,205.068872447933,2.56,543.724058973,46.861,1.974447228,52.73982977,56.289,5.026,18,5,1.75522134,97.8351641079942,95.45,0.53,1.340076066,1.179394812,0.880095423,8.716989012
"GER01",1,"Fasy",-0.291974206157894,-0.125053586394737,3.76,95,1305.674848,44.5841809539682,0.598718747603802,69.0837672737379,13.4911658721263,0.217301660612235,80.6001007645493,6.72,1613.566137597,17.039,2.221550182,156.1403086,27.41009091,2.902473118,405,46,2.16550916,96.6785714285714,98.92,0.996666667,1.264610997,1.137447292,0.89944441,3.477145745
